,Node,Mode,terminal_type,time_period,weight,scenario
0,Bergen,Rail,Combination,2020,1.0,AVG2
1,Oslo,Sea,All,2020,1.0,AVG2
2,Trondheim,Sea,All,2020,1.0,AVG2
3,Tromsø,Sea,All,2020,1.0,AVG2
4,Stavanger,Sea,All,2020,1.0,AVG2
5,Bergen,Rail,Combination,2025,1.0,AVG2
6,Oslo,Sea,All,2025,1.0,AVG2
7,Trondheim,Sea,All,2025,1.0,AVG2
8,Tromsø,Sea,All,2025,1.0,AVG2
9,Ålesund,Sea,All,2025,1.0,AVG2
10,Stavanger,Sea,All,2025,1.0,AVG2
11,Oslo,Sea,All,2030,1.0,AVG2
12,Stavanger,Sea,All,2030,1.0,AVG2
13,Oslo,Sea,All,2040,1.0,AVG2
14,Trondheim,Sea,All,2040,1.0,AVG2
15,Stavanger,Sea,All,2040,1.0,AVG2
16,Bergen,Rail,Combination,2020,1.0,AVG22
17,Oslo,Sea,All,2020,1.0,AVG22
18,Trondheim,Sea,All,2020,1.0,AVG22
19,Tromsø,Sea,All,2020,1.0,AVG22
20,Stavanger,Sea,All,2020,1.0,AVG22
21,Bergen,Rail,Combination,2025,1.0,AVG22
22,Oslo,Sea,All,2025,1.0,AVG22
23,Trondheim,Sea,All,2025,1.0,AVG22
24,Tromsø,Sea,All,2025,1.0,AVG22
25,Ålesund,Sea,All,2025,1.0,AVG22
26,Stavanger,Sea,All,2025,1.0,AVG22
27,Oslo,Sea,All,2030,1.0,AVG22
28,Stavanger,Sea,All,2030,1.0,AVG22
29,Oslo,Sea,All,2040,1.0,AVG22
30,Trondheim,Sea,All,2040,1.0,AVG22
31,Stavanger,Sea,All,2040,1.0,AVG22
